habtype,MajorHab,habitat_name,MajorHabName,PensumCategories,IG,,
1100,11,NA,Vandareal,Andet,,,
1200,12,NA,Klit/Strand,Andet,,,
1210,12,Strandvold med enårige planter,Klit/Strand,Rullestenstrand,Staves med ét s. Samme artssammensætning kan findes på Forklit,,
1220,12,Strandvold med flerårige planter,Klit/Strand,Rullestenstrand,Staves med ét s. Samme artssammensætning kan findes på Forklit,,
1230,12,Kystklint eller -klippe,Klit/Strand,Andet,Artsmæssigt kan det variere rigtig meget. Jeg vil udelade denne type fra øvelserne,,
1300,13,NA,Strandeng,Andet,,,
1310,13,Enårig strandengsvegetation,Strandeng,Strandeng,Kan ligne en rullestenstrand / sandstrand?,,
1320,13,Vadegræssamfund,Strandeng,Strandeng,,,
1330,13,Strandeng,Strandeng,Strandeng,,,
1340,13,Indlandssalteng,Strandeng,Andet,Jeg har ikke praktisk kendskab til denne type, men i og med at vi ikke ser den på kursus, kunne vi måske droppe den helt?
2100,21,NA,Klit/Strand,Andet,,,
2110,21,Forklit,Klit/Strand,Klit,Der kan være overlap med rullestenstrand,,
2120,21,Hvid klit,Klit/Strand,Klit,,,
2130,21,Grå/grønsværklit,Klit/Strand,Klit,Kan ligne et overdrev,,
2140,21,Klithede,Klit/Strand,Hede,,,
2160,21,Havtornklit,Klit/Strand,Klit,,,
2170,21,Grårisklit,Klit/Strand,Klit,,,
2180,21,Skovklit,Skov,Andet,Listen over træarter er som regel meget anderledes sammenlignet med andre skovtyper, så den vil man kunne identificere,
2190,21,Klitlavning,Klit/Strand,Klit,Artssammensætningen kan være meget forskellig: fra rigkær til oligotrof hængesæk / våd hede / tørvelavning / strandeng og rørsump. Så man vil ikke kunne se typen ud fra artslisten alene,,
2250,22,Enebærklit,Klit/Strand,Andet,,,
2300,23,NA,Klit/Strand,Andet,,,
2310,23,Visse-indlandsklit,Klit/Strand,Andet,Kan ligne en hede,,
2320,23,Revling-indlandsklit,Klit/Strand,Andet,Ligner mest en hede,,
2330,23,Græs-indlandsklit,Klit/Strand,Andet,Kan ligne en hede og et overdrev,,
3100,31,NA,Sø,Andet,,,
3130,31,NA,Sø,Andet,,,
3260,32,NA,Vandløb,Andet,,,
4000,40,NA,Hede,Andet,,,
4010,40,Våd hede,Hede,Hede,Artsmæssigt kan ligne en højmose / hængesæk,,
4030,40,Tør hede,Hede,Hede,,,
5130,51,Enekrat,Græsland/Overdrev,Andet,,,
6120,61,Tørt kalksandoverdrev,Græsland/Overdrev,Tørt kalksandoverdrev,,,
6200,62,NA,Græsland/Overdrev,Andet,,,
6210,62,Kalkoverdrev,Græsland/Overdrev,Kalkoverdrev,Kalkoverdrev er ét ord,,
6230,62,Surt overdrev,Græsland/Overdrev,Surt overdrev,,,
6400,64,NA,Kær/Mose/Eng,Andet,,,
6410,64,Tidvis våd eng,Kær/Mose/Eng,Fersk eng,Kan kun erkendes ud fra artsliste, når der er karakteristiske arter til stede - ellers hovedkategori,
6430,64,NA,Kær/Mose/Eng,Andet,,,
7000,70,NA,Kær/Mose/Eng,Andet,,,
7100,71,NA,Kær/Mose/Eng,Andet,,,
7110,71,Højmose,Kær/Mose/Eng,Højmose/Hængesæk,Kan være svær at genkende ud fra artslisten: lighed med oligotrof hængesæk,,
7120,71,Nedbrudt højmose,Kær/Mose/Eng,Højmose/Hængesæk,Kan være meget svær at genkende ud fra artslisten: ligner ofte en græshede med Blåtop. Måske skal vi droppe den helt i øvelserne,,
7140,71,Hængesæk,Kær/Mose/Eng,Højmose/Hængesæk,Kan være svær at genkende ud fra artslisten: oligotrof hængesæk ligner ofte en højmose,,
7150,71,Tørvelavning,Kær/Mose/Eng,Andet,Artssammensætningen er typisk afvigende fra mose/eng, men vi ser ikke denne type på kursus - så måske skal vi droppe den,
7200,72,NA,Kær/Mose/Eng,Andet,,,
7210,72,Avneknippemose,Kær/Mose/Eng,Andet,,,
7220,72,Kildevæld,Kær/Mose/Eng,Kildevæld,Kan kun erkendes ud fra artsliste, når der er karakteristiske arter til stede - ellers hovedkategori,
7230,72,Rigkær,Kær/Mose/Eng,Rigkær,Kan kun erkendes ud fra artsliste, når der er karakteristiske arter til stede - ellers hovedkategori,
8220,82,NA,Klipper,Andet,,,
9100,91,NA,Klipper,Andet,,,
9110,91,Bøg på mor,Skov,Bøgeskov,Man skal kontrollere, at der er urter på artslisterne. Ellers kan man ikke se, hvilken jordbund der er
9120,91,Bøg på mor med kristtorn,Skov,Bøgeskov,Man skal kontrollere, at der er urter på artslisterne. Ellers kan man ikke se, hvilken jordbund der er
9130,91,Bøg på muld,Skov,Bøgeskov,Man skal kontrollere, at der er urter på artslisterne. Ellers kan man ikke se, hvilken jordbund der er
9150,91,Bøg på kalk,Skov,Bøgeskov,Man skal kontrollere, at der er urter på artslisterne. Ellers kan man ikke se, hvilken jordbund der er
9190,91,Stilkege-krat,Skov,Egeskov,,,
9998,99,Skovbevokset tørvemose,NA,Skovbevokset tørvemose,,,
9999,99,Elle-/askeskov ved vandløb, søer og væld,NA,Elle-/Askeskov,,
NA,NA,NA,NA,,Er der ikke data for 9160 og 9170?,,
